"Group","Component","R_squared","Coefficient","p_value","Variable","Significance"
"noninvasive","turnover",0.321798900733271,-0.0248799410974443,0.0550550550550551,"dem_mean1",""
"noninvasive","turnover",0.321798900733271,0.00272094860429941,0.797797797797798,"map_mean1",""
"noninvasive","turnover",0.321798900733271,0.0917858506637969,0.001001001001001,"mat_mean1","**"
"noninvasive","turnover",0.321798900733271,0.0222705733488424,0.702702702702703,"gdp_mean1",""
"noninvasive","turnover",0.321798900733271,-0.0277377189544726,0.56956956956957,"pd_mean1",""
"noninvasive","turnover",0.321798900733271,0.0099971280297716,0.765765765765766,"ul_mean1",""
"noninvasive","nestedness",0.10121795745659,0.200196200748193,0.001001001001001,"Int","**"
"noninvasive","nestedness",0.10121795745659,-0.0417880721710145,0.003003003003003,"geo1","**"
"noninvasive","nestedness",0.10121795745659,0.0064442671486166,0.326326326326326,"est.time1",""
"noninvasive","nestedness",0.10121795745659,0.0163635018023779,0.0860860860860861,"area_ha1",""
"noninvasive","nestedness",0.10121795745659,0.0322625875979988,0.003003003003003,"dem_mean1","**"
"noninvasive","nestedness",0.10121795745659,-0.00714727326094987,0.407407407407407,"map_mean1",""
"noninvasive","nestedness",0.10121795745659,-0.0225067934317444,0.0660660660660661,"mat_mean1",""
"noninvasive","nestedness",0.10121795745659,-0.0159622848161132,0.722722722722723,"gdp_mean1",""
"noninvasive","nestedness",0.10121795745659,0.0151310007197491,0.690690690690691,"pd_mean1",""
"noninvasive","nestedness",0.10121795745659,-0.00296549555279337,0.911911911911912,"ul_mean1",""
"native","total",0.465499895517782,0.794866692265495,0.001001001001001,"Int","**"
"native","total",0.465499895517782,0.0208599344000806,0.002002002002002,"geo1","**"
"native","total",0.465499895517782,0.00278705597443413,0.446446446446446,"est.time1",""
"native","total",0.465499895517782,0.000925580451654784,0.874874874874875,"area_ha1",""
"native","total",0.465499895517782,0.0174303394936081,0.003003003003003,"dem_mean1","**"
"native","total",0.465499895517782,0.0126442806382781,0.00700700700700701,"map_mean1","**"
"native","total",0.465499895517782,0.0571482619554578,0.001001001001001,"mat_mean1","**"
