"Group","Component","R_squared","Coefficient","p_value","Variable","Significance"
"native","total",0.352234421579559,0.00354963780026959,0.384384384384384,"est.time1",""
"native","total",0.352234421579559,0.00549331455718486,0.342342342342342,"area_ha1",""
"native","total",0.352234421579559,0.0246908019945315,0.004004004004004,"dem_mean1","**"
"native","total",0.352234421579559,0.0172485966693258,0.005005005005005,"map_mean1","**"
"native","total",0.352234421579559,0.0487048348366608,0.001001001001001,"mat_mean1","**"
"native","total",0.352234421579559,-0.00990795330208082,0.747747747747748,"gdp_mean1",""
"native","total",0.352234421579559,-0.00125866161481446,0.970970970970971,"pd_mean1",""
"native","total",0.352234421579559,0.00634115610631891,0.705705705705706,"ul_mean1",""
"native","turnover",0.362780511320192,0.351708995265118,0.001001001001001,"Int","**"
"native","turnover",0.362780511320192,0.0214803212591187,0.021021021021021,"geo1","*"
"native","turnover",0.362780511320192,-0.00475130548269333,0.355355355355355,"est.time1",""
"native","turnover",0.362780511320192,-0.0257492692089865,0.002002002002002,"area_ha1","**"
"native","turnover",0.362780511320192,-0.00698234317324323,0.383383383383383,"dem_mean1",""
"native","turnover",0.362780511320192,0.0124826232441481,0.0610610610610611,"map_mean1",""
"native","turnover",0.362780511320192,0.0680083471516865,0.001001001001001,"mat_mean1","**"
"native","turnover",0.362780511320192,0.0257938931793558,0.461461461461461,"gdp_mean1",""
"native","turnover",0.362780511320192,-0.0465885755034099,0.125125125125125,"pd_mean1",""
"native","turnover",0.362780511320192,0.0234272708579186,0.266266266266266,"ul_mean1",""
"native","nestedness",0.0837046342328565,0.211728953360299,0.001001001001001,"Int","**"
"native","nestedness",0.0837046342328565,-0.0103840400421451,0.342342342342342,"geo1",""
"native","nestedness",0.0837046342328565,0.008300943282963,0.193193193193193,"est.time1",""
"native","nestedness",0.0837046342328565,0.0312425837661713,0.00800800800800801,"area_ha1","**"
"native","nestedness",0.0837046342328565,0.0316731451677753,0.005005005005005,"dem_mean1","**"
"native","nestedness",0.0837046342328565,0.0047659734251773,0.563563563563564,"map_mean1",""
"native","nestedness",0.0837046342328565,-0.019303512315024,0.0830830830830831,"mat_mean1",""
"native","nestedness",0.0837046342328565,-0.0357018464814353,0.443443443443443,"gdp_mean1",""
"native","nestedness",0.0837046342328565,0.0453299138885934,0.235235235235235,"pd_mean1",""
"native","nestedness",0.0837046342328565,-0.0170861147515988,0.486486486486487,"ul_mean1",""
"all","total",0.35881888858448,0.562477523810484,0.001001001001001,"Int","**"
"all","total",0.35881888858448,0.0106046835840754,0.153153153153153,"geo1",""
"all","total",0.35881888858448,0.00284521554227458,0.491491491491492,"est.time1",""
"all","total",0.35881888858448,0.00440816973067568,0.46046046046046,"area_ha1",""
"all","total",0.35881888858448,0.0213833677611243,0.004004004004004,"dem_mean1","**"
"all","total",0.35881888858448,0.0140786650698385,0.014014014014014,"map_mean1","*"
"all","total",0.35881888858448,0.0539940150116943,0.001001001001001,"mat_mean1","**"
"all","total",0.35881888858448,0.0133541539008053,0.694694694694695,"gdp_mean1",""
"all","total",0.35881888858448,-0.01840570982867,0.47047047047047,"pd_mean1",""
"all","total",0.35881888858448,0.00160125753790564,0.920920920920921,"ul_mean1",""
"all","turnover",0.327887498002964,0.345504836427536,0.001001001001001,"Int","**"
"all","turnover",0.327887498002964,0.0281378441726801,0.005005005005005,"geo1","**"
"all","turnover",0.327887498002964,-0.00372164138500902,0.477477477477477,"est.time1",""
"all","turnover",0.327887498002964,-0.0218925432023958,0.00600600600600601,"area_ha1","**"
"all","turnover",0.327887498002964,-0.0108384671123236,0.214214214214214,"dem_mean1",""
"all","turnover",0.327887498002964,0.0100963356592691,0.135135135135135,"map_mean1",""
"all","turnover",0.327887498002964,0.0616672953262144,0.001001001001001,"mat_mean1","**"
"all","turnover",0.327887498002964,0.0463447756647901,0.229229229229229,"gdp_mean1",""
"all","turnover",0.327887498002964,-0.062126939070886,0.045045045045045,"pd_mean1","*"
"all","turnover",0.327887498002964,0.0183149140205757,0.403403403403403,"ul_mean1",""
